YYYY,MM,DD,DHW,BAA
1987,3,19,2.4886,2
1987,3,20,2.3,2
1987,3,21,2.1229,2
1987,3,22,2.1229,2
1987,3,23,1.9757,1
1987,3,24,1.9757,1
1987,3,25,1.9757,1
1987,3,26,1.9757,1
1987,3,27,1.9757,1
1987,3,28,1.9757,1
1987,3,29,1.9757,1
1987,3,30,1.8257,1
1987,3,31,1.6771,1
1987,4,1,1.6771,1
1987,4,2,1.6771,1
1987,4,3,1.6771,1
1987,4,4,1.6771,1
1987,4,5,1.6771,1
1987,4,6,1.6771,1
1987,4,7,1.6771,1
1987,4,8,1.8243,2
1987,4,9,1.84,2
1987,4,10,2.0186,2
1987,4,11,2.0186,2
1987,4,12,2.1714,2
1987,4,13,2.3257,2
1987,4,14,2.2857,2
1987,4,15,2.2957,2
1987,4,16,2.3243,2
1987,4,17,2.3814,2
1987,4,18,2.5971,2
1987,4,19,2.4014,2
1987,4,20,2.2243,2
1987,4,21,2.0771,2
1987,4,22,2.0771,2
1987,4,23,2.0771,2
1987,4,24,2.0771,2
1987,4,25,2.0771,1
1987,4,26,2.0771,1
1987,4,27,2.2257,2
1987,4,28,2.2257,2
1987,4,29,2.2257,2
1987,4,30,2.2257,2
1987,5,1,2.2257,2
1987,5,2,2.3686,2
1987,5,3,2.3686,2
1987,5,4,2.3686,2
1987,5,5,2.3686,2
1987,5,6,2.3686,2
1987,5,7,2.3686,2
1987,5,8,2.6014,2
1987,5,9,2.81,2
1987,5,10,3.03,2
1987,5,11,3.2029,2
1987,5,12,3.38,2
1987,5,13,3.5414,2
1987,5,14,3.6857,2
1987,5,15,3.6857,2
1987,5,16,3.6857,2
1987,5,17,3.6857,2
1987,5,18,3.6857,2
1987,5,19,3.6857,2
1987,5,20,3.6857,2
1987,5,21,3.6857,1
1987,5,22,3.8657,2
1987,5,23,4.03,3
1987,5,24,4.18,3
1987,5,25,4.0343,3
1987,5,26,4.2,3
1987,5,27,4.3857,3
1987,5,28,4.5671,3
1987,5,29,4.77,3
1987,5,30,4.9657,3
1987,5,31,5.1471,3
1987,6,1,5.1471,3
1987,6,2,5.3257,3
1987,6,3,5.5286,3
1987,6,4,5.7329,3
1987,6,5,5.95,3
1987,6,6,6.1671,3
1987,6,7,6.34,3
1987,6,8,6.1857,3
1987,6,9,6.1857,3
1987,6,10,6.1857,3
1987,6,11,6.1857,3
1987,6,12,6.3657,3
1987,6,13,6.6457,3
1987,6,14,6.8443,3
1987,6,15,7.0257,3
1987,6,16,7.0257,3
1987,6,17,7.0257,3
1987,6,18,7.2543,3
1987,6,19,7.5229,3
1987,6,20,7.7643,3
1987,6,21,8.0071,4
1987,6,22,8.26,4
1987,6,23,8.5243,4
1987,6,24,8.7614,4
1987,6,25,8.9957,4
1987,6,26,9.2329,4
1987,6,27,9.4729,4
1987,6,28,9.7,4
1987,6,29,9.9957,4
1987,6,30,10.28,4
1987,7,1,10.3943,4
1987,7,2,10.4243,4
1987,7,3,10.4557,4
1987,7,4,10.68,4
1987,7,5,10.77,4
1987,7,6,10.8586,4
1987,7,7,10.9114,4
1987,7,8,10.9443,4
1987,7,9,10.9714,4
1987,7,10,11.02,4
1987,7,11,10.9857,4
1987,7,12,11.2757,4
1987,7,13,11.5557,4
1987,7,14,11.83,4
