"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR14","FR14_200","coral_I",2019,329.81494025,5.7985317100394,1,0,0,0,6.3129,4.63,0,0,0,2019,2016,0.198215124471584,0.198215124471584
"FR14","FR14_2000","coral_B",2019,40.49100107,3.70107975362088,0,0,0.823289810284977,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_201","coral_I",2019,722.51079074,6.58273235515533,0,0,-0.542398822548354,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2036","coral_I",2019,1126.31190572,7.02670377364503,0,0,0.0377542496999182,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2043","coral_I",2019,41.51836034,3.72613574723007,1,0,0,0,6.3129,4.63,0,0,0,2016,2017,0.198215124471584,0.198215124471584
"FR14","FR14_210","coral_I",2019,1327.42971329,7.19099980504017,0,0,0.39310947459167,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2117","coral_I",2019,6.99582741,1.94531388704073,1,0,0,0,6.3129,4.63,0,0,0,2019,NA,0.198215124471584,0.198215124471584
"FR14","FR14_212","coral_I",2019,345.27425117,5.84433903216865,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_213","coral_I",2019,2223.48268421,7.70683002229281,0,0,0.418780451508557,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2137","coral_I",2019,629.11894091,6.44432033407061,0,0,-0.447137980840947,0,6.3129,4.63,0,0,0,2016,NA,0.198215124471584,0.198215124471584
"FR14","FR14_217","coral_I",2019,246.12592797,5.50584330727214,0,0,-0.618044876018442,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2170","coral_I",2019,63.87565493,4.15693830177854,1,0,0,0,6.3129,4.63,0,1,0,2016,2018,0.198215124471584,0.198215124471584
"FR14","FR14_219","coral_I",2019,243.32107409,5.49438186375313,0,0,-0.662696955048072,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2211","coral_G",2019,87.86367852,4.47578650564297,0,0,0.485113498583202,0,6.3129,4.63,0,0,0,2016,NA,0.198215124471584,0.198215124471584
"FR14","FR14_222","coral_I",2019,212.19045748,5.35748425570596,1,0,0,0,6.3129,4.63,0,1,0,2019,2018,0.198215124471584,0.198215124471584
"FR14","FR14_223","coral_G",2019,348.82924039,5.85458251991452,0,0,-0.153582856678887,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_225","coral_I",2019,98.95263572,4.59464130858114,0,0,-0.366481677282418,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_226","coral_I",2019,483.95144533,6.18198458211817,1,0,0,0,6.3129,4.63,0,1,0,2019,2018,0.198215124471584,0.198215124471584
"FR14","FR14_2272","coral_I",2019,750.60825141,6.62088387972603,0,0,0.246113870502498,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_228","coral_I",2019,587.12766916,6.37524229048969,0,0,1.17075659650667,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_230","coral_G",2019,230.29154938,5.439346112189,0,0,0.0202431718503619,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_231","coral_G",2019,217.97954543,5.38440123008419,0,0,0.478825248937773,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_2319","coral_I",2019,14.59502455,2.68068068638757,0,0,-2.154616382675,0,6.3129,4.63,0,0,0,2016,NA,0.198215124471584,0.198215124471584
"FR14","FR14_232","coral_I",2019,30.10325734,3.40463338317551,1,0,0,0,6.3129,4.63,0,0,0,2019,2016,0.198215124471584,0.198215124471584
"FR14","FR14_233","coral_I",2019,287.72582476,5.66200802933754,0,0,-0.397841472163231,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_234","coral_G",2019,246.71299041,5.50822567885755,0,0,-0.164100730207026,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_235","coral_I",2019,104.2035831,4.64634651548429,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_2357","coral_I",2019,25.42306511,3.23565683717049,1,0,0,0,6.3129,4.63,0,1,0,2016,2018,0.198215124471584,0.198215124471584
